ticket_id,match_id,user_id,user_name,user_email,ticket_type,quantity,stadium,price,purchase_timestamp,ingest_timestamp
5d794ab3-8647-483e-89f9-693041680f08,M5,FIFAW26032156,Caitlin Vaughn,monicabailey@gmail.com,Student,1,SoFi Stadium,449.4,2026-06-14 14:49:18,2026-06-14 15:17:18
f53094e5-8ab5-48bb-8a7c-1d4d28edac2c,M14,FIFAW26008559,Donald Norman,tthomas@yahoo.com,VIP,5,Mercedes-Benz Stadium,6090.5,2026-05-26 09:37:50,2026-05-26 10:06:50
0c0c5931-82ef-4ddb-ad40-d60b75267eb8,M14,FIFAW26045097,Lauren Watkins,chapmanebony@hotmail.com,VIP,3,Mercedes-Benz Stadium,3654.3,2026-06-14 04:16:52,2026-06-14 04:27:52
3278afb2-8ee0-4731-9193-e03394d29292,M7,FIFAW26009068,Jacqueline Freeman,vstone@hotmail.com,VIP,1,AT&T Stadium,1225.9,2026-05-25 16:53:01,2026-05-25 17:21:01
1abf04d5-acc4-492a-aff8-f3af37bc6f22,M29,FIFAW26012216,John Bean,rwalker@yahoo.com,GA,4,GEHA Field at Arrowhead Stadium,2776.0,2026-07-18 21:48:08,2026-07-18 21:49:08
7b9fb76b-3616-4930-aa0c-ce6ffc59dfb2,M33,FIFAW26035184,Sharon Scott,wardtrevor@gmail.com,GA,1,SoFi Stadium,642.0,2026-07-01 14:06:14,2026-07-01 14:15:14
0331dbbe-10d4-4cb3-a891-ec0247bd6930,M1,FIFAW26019995,Juan Wu,robertsonthomas@gmail.com,VIP,3,AT&T Stadium,3677.7,2026-04-20 16:42:24,2026-04-20 16:45:24
cb2be797-3ae1-41c6-a30a-f74494dfe33e,M19,FIFAW26025678,Holly Diaz,randrews@yahoo.com,VIP,8,SoFi Stadium,6676.8,2026-05-24 23:21:46,2026-05-24 23:51:46
833edc13-2fcf-4fda-b94b-3a7e23cdacef,M29,FIFAW26000293,Laura Morgan,kari39@hotmail.com,GA,1,GEHA Field at Arrowhead Stadium,694.0,2026-07-27 16:10:19,2026-07-27 16:40:19
3b98091c-8684-4024-b85f-9cb05d095d04,M32,FIFAW26037315,Sheri Cameron,kevinmurillo@hotmail.com,GA,1,BC Place,648.0,2026-06-13 15:21:21,2026-06-13 15:30:21
eea582e6-5871-46c3-9c73-9674dc85b204,M45,FIFAW26021406,Michael Watson,cynthiawelch@hotmail.com,GA,5,BC Place,3240.0,2026-08-08 04:29:00,2026-08-08 05:12:00
ad3777ac-5b73-4c26-9a1f-c757d21f0c24,M28,FIFAW26005947,Richard Allen,lauriedavidson@yahoo.com,Student,8,SoFi Stadium,3595.2,2026-06-08 15:23:46,2026-06-08 23:23:46
662ba53d-75cc-4106-ab78-5e87396bcb2b,M50,FIFAW26013045,Nathan Lowe,taylormark@yahoo.com,GA,8,NRG Stadium,4408.0,2026-08-19 09:57:15,2026-08-20 09:57:15
441b4a1a-252b-4735-bd15-b43007edcab2,M19,FIFAW26043672,Stacey Lee,tdorsey@yahoo.com,Student,7,SoFi Stadium,3145.8,2026-05-21 20:25:33,2026-05-21 20:49:33
db685f08-24c3-4119-9516-bd2d261259d0,M29,FIFAW26014734,Jessica Owens,vanessa23@yahoo.com,GA,8,GEHA Field at Arrowhead Stadium,5552.0,2026-07-01 13:01:20,2026-07-01 13:21:20
55a38f46-5c78-4e87-8bb3-b84c7f4046aa,M5,FIFAW26045406,Jay Mccarthy,lopezjoshua@yahoo.com,VIP,1,SoFi Stadium,834.6,2026-04-22 09:53:51,2026-04-22 10:03:51
a9b2426e-0e2b-4a82-999b-228a82e58096,M36,FIFAW26016753,Amber Rodriguez,czimmerman@yahoo.com,GA,7,Mercedes-Benz Stadium,6559.0,2026-07-02 02:14:45,2026-07-02 02:35:45
d0c24119-400a-4e0b-a9d8-ff6ec6c674c9,M46,FIFAW26029562,Nicholas Perez,carolyn01@yahoo.com,VIP,6,BMO Field,4828.2,2026-08-11 19:01:20,2026-08-11 19:17:20
4e84926b-ec6a-4edc-8144-ffbc946e7859,M3,FIFAW26033427,Gary Garner,walkeredwin@gmail.com,GA,8,SoFi Stadium,5136.0,2026-04-29 09:49:59,2026-04-29 09:51:59
9cd3d00f-9535-4cbd-97c6-f4721cf2587d,M23,FIFAW26022969,David Baker,williamsondiana@gmail.com,VIP,1,GEHA Field at Arrowhead Stadium,902.2,2026-06-15 03:57:25,2026-06-15 04:00:25
492714b3-d848-4ba4-ba23-80439c526ef7,M48,FIFAW26045617,Sean Brooks,crystal04@hotmail.com,GA,4,Mercedes-Benz Stadium,3748.0,2026-08-04 15:20:13,2026-08-04 20:20:13
e9e6205a-e70e-4978-9160-315625f330ae,M27,FIFAW26026762,Jessica Ball,michelle65@yahoo.com,Student,2,AT&T Stadium,1320.2,2026-06-07 03:27:27,2026-06-07 04:37:27
37db9fab-d68c-418d-a2ff-c1374212e7dd,M17,FIFAW26032830,Theresa Shields,kayla32@gmail.com,GA,1,NRG Stadium,551.0,2026-05-19 17:32:42,2026-05-19 17:39:42
b4e8ba91-506d-4163-bb37-d5f9688ec216,M4,FIFAW26027282,April Cooper,sheppardkatherine@gmail.com,GA,3,GEHA Field at Arrowhead Stadium,2082.0,2026-06-01 14:13:34,2026-06-01 14:36:34
86158903-826b-425a-a50c-23c56587ad77,M17,FIFAW26003650,Tyler Simpson,charlesewing@yahoo.com,VIP,3,NRG Stadium,2148.9,2026-05-13 10:55:51,2026-05-13 17:27:51
83d0b3be-da74-433f-952d-64a242eadc0f,M13,FIFAW26044449,Jacob Robles,adamchavez@yahoo.com,Student,7,Hard Rock Stadium,3586.8,2026-05-25 16:17:59,2026-05-25 16:28:59
bd4a7fac-225b-448a-ae3b-a77f1d4e9efc,M36,FIFAW26013990,Mary Mills,petersondenise@yahoo.com,GA,8,Mercedes-Benz Stadium,7496.0,2026-07-29 08:56:34,2026-07-29 09:17:34
